Gustavo Petro,Federico Gutiérrez,Rodolfo Hernández,Sergio Fajardo,Enrique Gómez,John Milton Rodríguez,Blanco,Participacion,Asignaciones,Decision,Fecha,Dias,Encuestadora,Representatividad,metodologia,Peso
0.339375,0.32337499999999997,0.09112500000000001,0.12837500000000002,0.018125000000000002,0.016125,0.08349999999999999,0.46915,"{'Gustavo Petro': 0.024375000000000008, 'Federico Gutiérrez': 0.024375000000000008, 'Rodolfo Hernández': 0.008125000000000002, 'Sergio Fajardo': 0.024375000000000008, 'Enrique Gómez': 0.008125000000000002, 'John Milton Rodríguez': 0.008125000000000002, 'Blanco': 0.008125000000000002}",nan,19/4/2022,-40.0,Massive Caller,0.0,0.5,0.001612573340351686
0.421,0.279,0.13699999999999998,0.08566666666666667,0.01666666666666666,0.02266666666666666,0.038,0.46915,"{'Gustavo Petro': 0.04099999999999998, 'Federico Gutiérrez': 0.04099999999999998, 'Rodolfo Hernández': 0.04099999999999998, 'Sergio Fajardo': 0.01366666666666666, 'Enrique Gómez': 0.01366666666666666, 'John Milton Rodríguez': 0.01366666666666666, 'Blanco': 0.01366666666666666}",0.912,21/4/2022,-38.0,CNC,0.672,0.725,0.004749414628076655
0.36,0.338,0.08233333333333334,0.11100000000000003,0.01733333333333334,0.01933333333333334,0.07200000000000001,0.46915,"{'Gustavo Petro': 0.02200000000000002, 'Federico Gutiérrez': 0.02200000000000002, 'Rodolfo Hernández': 0.00733333333333334, 'Sergio Fajardo': 0.02200000000000002, 'Enrique Gómez': 0.00733333333333334, 'John Milton Rodríguez': 0.00733333333333334, 'Blanco': 0.00733333333333334}",nan,26/4/2022,-33.0,Massive Caller,0.0,0.5,0.003552091144303422
0.445625,0.276625,0.148625,0.06820833333333333,0.014208333333333333,0.01820833333333333,0.0285,0.691,"{'Gustavo Petro': 0.009624999999999995, 'Federico Gutiérrez': 0.009624999999999995, 'Rodolfo Hernández': 0.009624999999999995, 'Sergio Fajardo': 0.0032083333333333317, 'Enrique Gómez': 0.0032083333333333317, 'John Milton Rodríguez': 0.0032083333333333317, 'Blanco': 0.0032083333333333317}",0.952,27/4/2022,-32.0,Invamer,0.667,1.0,0.0360707134758889
0.385625,0.327625,0.145625,0.07620833333333334,0.018208333333333337,0.018208333333333337,0.0285,0.46915,"{'Gustavo Petro': 0.021625000000000005, 'Federico Gutiérrez': 0.021625000000000005, 'Rodolfo Hernández': 0.021625000000000005, 'Sergio Fajardo': 0.007208333333333335, 'Enrique Gómez': 0.007208333333333335, 'John Milton Rodríguez': 0.007208333333333335, 'Blanco': 0.007208333333333335}",0.957,29/4/2022,-30.0,Guarumo & EcoAnalítica,0.5,0.75,0.02323022740706734
0.37350000000000005,0.3255,0.10950000000000003,0.08816666666666667,0.015166666666666672,0.017166666666666674,0.071,0.46915,"{'Gustavo Petro': 0.02150000000000002, 'Federico Gutiérrez': 0.02150000000000002, 'Rodolfo Hernández': 0.02150000000000002, 'Sergio Fajardo': 0.007166666666666673, 'Enrique Gómez': 0.007166666666666673, 'John Milton Rodríguez': 0.007166666666666673, 'Blanco': 0.007166666666666673}",nan,3/5/2022,-26.0,Massive Caller,0.0,0.5,0.007824358236436603
0.433,0.24299999999999997,0.15299999999999997,0.081,0.013999999999999992,0.01099999999999999,0.065,0.46915,"{'Gustavo Petro': 0.032999999999999974, 'Federico Gutiérrez': 0.032999999999999974, 'Rodolfo Hernández': 0.032999999999999974, 'Sergio Fajardo': 0.01099999999999999, 'Enrique Gómez': 0.01099999999999999, 'John Milton Rodríguez': 0.01099999999999999, 'Blanco': 0.01099999999999999}",0.94,7/5/2022,-22.0,Yanhaas,0.6,0.75,0.08571302886891256
0.4150125,0.2626125,0.1576125,0.07680416666666666,0.02920416666666667,0.027804166666666668,0.030950000000000002,0.46915,"{'Gustavo Petro': 0.0486125, 'Federico Gutiérrez': 0.0486125, 'Rodolfo Hernández': 0.0486125, 'Sergio Fajardo': 0.01620416666666667, 'Enrique Gómez': 0.01620416666666667, 'John Milton Rodríguez': 0.01620416666666667, 'Blanco': 0.01620416666666667}",0.8561,8/5/2022,-21.0,T&SE,0.6,0.5,0.16616864764379968
0.41,0.26,0.18999999999999997,0.08,0.00999999999999999,0.01999999999999999,0.03,0.46915,"{'Gustavo Petro': 0.02999999999999997, 'Federico Gutiérrez': 0.02999999999999997, 'Rodolfo Hernández': 0.02999999999999997, 'Sergio Fajardo': 0.00999999999999999, 'Enrique Gómez': 0.00999999999999999, 'John Milton Rodríguez': 0.00999999999999999, 'Blanco': 0.00999999999999999}",0.94,13/5/2022,-16.0,CNC,0.6906,0.7,0.056648189086132957
0.4036125,0.27701250000000005,0.21881250000000002,0.05540416666666667,0.010404166666666673,0.013204166666666673,0.02155,0.892,"{'Gustavo Petro': 0.022812500000000013, 'Federico Gutiérrez': 0.022812500000000013, 'Rodolfo Hernández': 0.022812500000000013, 'Sergio Fajardo': 0.007604166666666671, 'Enrique Gómez': 0.007604166666666671, 'John Milton Rodríguez': 0.007604166666666671, 'Blanco': 0.007604166666666671}",0.938,18/5/2022,-11.0,Invamer,0.667,1.0,0.38552150505853294
0.45873749999999996,0.2356375,0.16983749999999997,0.0730125,0.009612499999999996,0.013512499999999997,0.03965,0.46915,"{'Gustavo Petro': 0.01143749999999999, 'Federico Gutiérrez': 0.01143749999999999, 'Rodolfo Hernández': 0.01143749999999999, 'Sergio Fajardo': 0.0038124999999999964, 'Enrique Gómez': 0.0038124999999999964, 'John Milton Rodríguez': 0.0038124999999999964, 'Blanco': 0.0038124999999999964}",nan,18/5/2022,-11.0,JPG,0.46,1.0,0.6175282600712609
0.38949999999999996,0.31849999999999995,0.21349999999999997,0.04649999999999998,0.008499999999999985,0.011499999999999984,0.012,0.6779999999999999,"{'Gustavo Petro': 0.010499999999999954, 'Federico Gutiérrez': 0.010499999999999954, 'Rodolfo Hernández': 0.010499999999999954, 'Sergio Fajardo': 0.0034999999999999845, 'Enrique Gómez': 0.0034999999999999845, 'John Milton Rodríguez': 0.0034999999999999845, 'Blanco': 0.0034999999999999845}",0.978,19/5/2022,-10.0,Guarumo & EcoAnalítica,0.518,0.75,0.22373711439201663
0.3983749999999999,0.24837499999999998,0.23137499999999997,0.05345833333333332,0.01645833333333332,0.023458333333333324,0.0285,0.46915,"{'Gustavo Petro': 0.040374999999999966, 'Federico Gutiérrez': 0.040374999999999966, 'Rodolfo Hernández': 0.040374999999999966, 'Sergio Fajardo': 0.013458333333333322, 'Enrique Gómez': 0.013458333333333322, 'John Milton Rodríguez': 0.013458333333333322, 'Blanco': 0.013458333333333322}",0.901,19/5/2022,-10.0,CNC,0.6906,0.715,0.11227849019248358
0.40775000000000006,0.27475000000000005,0.22175,0.09058333333333335,0.0025833333333333355,0.0025833333333333355,nan,0.46915,"{'Gustavo Petro': 0.007750000000000007, 'Federico Gutiérrez': 0.007750000000000007, 'Rodolfo Hernández': 0.007750000000000007, 'Sergio Fajardo': 0.0025833333333333355, 'Enrique Gómez': 0.0025833333333333355, 'John Milton Rodríguez': 0.0025833333333333355, 'Blanco': 0.0025833333333333355}",0.97,20/5/2022,-9.0,Atlas Intel,0.85,0.25,0.3217054715865475
0.47025,0.22025,0.22324999999999998,0.05541666666666666,0.006416666666666663,0.006416666666666663,0.018000000000000002,0.46915,"{'Gustavo Petro': 0.01924999999999999, 'Federico Gutiérrez': 0.01924999999999999, 'Rodolfo Hernández': 0.01924999999999999, 'Sergio Fajardo': 0.006416666666666663, 'Enrique Gómez': 0.006416666666666663, 'John Milton Rodríguez': 0.006416666666666663, 'Blanco': 0.006416666666666663}",0.968,20/5/2022,-9.0,CELAG,0.561,0.75,0.333479602021866
