candidato,media,mediana,sigma,extremo inferior,extremo superior,probabilidad de ganar
Gustavo Petro,43.126272440123614,43.08588590833641,5.4082883461637605,32.74470520731565,53.868289665101884,0.98276
Federico Gutiérrez,24.902572439615167,24.7724670294944,3.874316249106813,17.62501521595325,32.757799363592206,0.01336
Rodolfo Hernández,22.295419044345397,22.149678612715853,3.545324963626063,15.763820920944093,29.65466602846077,0.00388
Sergio Fajardo,5.707865685784623,5.540047508635518,1.7160508585386653,2.8539569721871314,9.504213005061372,
Blanco,2.066630761454879,1.2618948605674516,2.302763696033688,0.01263734792544411,8.3684556902614,
John Milton Rodríguez,1.0579631380939418,0.962608146835646,0.5565739552919541,0.2663567662058444,2.3932231273129734,
Enrique Gómez,0.8432764905823904,0.6912969296881948,0.6271842888746412,0.08298457482449628,2.4354167916931564,
